description,domain,weight
Greynoise Log4j Callback Servers,ldap://205.185.115.217:47324/a,5
Greynoise Log4j Callback Servers,ldap://193.3.19.159:53/c,5
Greynoise Log4j Callback Servers,ldap://8e37da3fcdba.bingsearchlib.com:39356/a,5
Greynoise Log4j Callback Servers,${lower:l}${lower:d}a${lower:p}://world443.log4j.bin${upper:a}ryedge.io:80/callback,5
Greynoise Log4j Callback Servers,http://134.209.163.248/callback/https-port-443-and-http-callback-scheme,5
Greynoise Log4j Callback Servers,ldap://134.209.163.248:80/callback/ldap2,5
Greynoise Log4j Callback Servers,rmi://134.209.163.248:80/Z,5
Greynoise Log4j Callback Servers,ldap://2174d47e8d04.bingsearchlib.com:39356/a,5
Greynoise Log4j Callback Servers,ldap://da6d408517b9.bingsearchlib.com:39356/a,5
Greynoise Log4j Callback Servers,ldap://652b376d5234.bingsearchlib.com:39356/a,5
Greynoise Log4j Callback Servers,ldap://67f36c9935fa.bingsearchlib.com:39356/a,5
Greynoise Log4j Callback Servers,ldap://91fd9fef8958.bingsearchlib.com:39356/a,5
Greynoise Log4j Callback Servers,ldap://d62267ee8842.bingsearchlib.com:39356/a,5
Greynoise Log4j Callback Servers,ldap://b095b212c8be.bingsearchlib.com:39356/a,5
Greynoise Log4j Callback Servers,ldap://8d01ae8527fe.bingsearchlib.com:39356/a,5
Greynoise Log4j Callback Servers,ldap://8ea121865922.bingsearchlib.com:39356/a,5
Greynoise Log4j Callback Servers,ldap://3cbea99275b5.bingsearchlib.com:39356/a,5
Greynoise Log4j Callback Servers,:ldap://45.130.229.168:1389/Exploit,5
Greynoise Log4j Callback Servers,ldap://cbac4cbd9ab7.bingsearchlib.com:39356/a,5
Greynoise Log4j Callback Servers,ldap://xyzuv12x8szr9ls5um3yx9zxn.canarytokens.com/o=tomcat,5
Greynoise Log4j Callback Servers,ldap://37fccd21badb.bingsearchlib.com:39356/a,5
Greynoise Log4j Callback Servers,ldap://23161a68213a.bingsearchlib.com:39356/a,5
Greynoise Log4j Callback Servers,ldap://cdcb81168792.bingsearchlib.com:39356/a,5
Greynoise Log4j Callback Servers,ldap://7971f7b4eb13.bingsearchlib.com:39356/a,5
Greynoise Log4j Callback Servers,ldap://43065f484327.bingsearchlib.com:39356/a,5
Greynoise Log4j Callback Servers,ldap://ea62856c5fc3.bingsearchlib.com:39356/a,5
Greynoise Log4j Callback Servers,ldap://6fdf46ec3488.bingsearchlib.com:39356/a,5
Greynoise Log4j Callback Servers,ldap://8a796f7b4e31.bingsearchlib.com:39356/a,5
Greynoise Log4j Callback Servers,ldap://ab3419ba1f45.bingsearchlib.com:39356/a,5
Greynoise Log4j Callback Servers,ldap://612877d3a59b.bingsearchlib.com:39356/a,5
Greynoise Log4j Callback Servers,ldap://e2216d7a9a31.bingsearchlib.com:39356/a,5
Greynoise Log4j Callback Servers,ldap://x${hostName}.L4J.dw2ussp6pwln61gc1nubetivr.canarytokens.com/a,5
Greynoise Log4j Callback Servers,ldap://89f502dbc7e4.bingsearchlib.com:39356/a,5
Greynoise Log4j Callback Servers,ldap://5486b6edd688.bingsearchlib.com:39356/a,5
Greynoise Log4j Callback Servers,ldap://0b437489cdec.bingsearchlib.com:39356/a,5
Greynoise Log4j Callback Servers,ldap://fb49bb32caca.bingsearchlib.com:39356/a,5
Greynoise Log4j Callback Servers,ldap://adac95b08630.bingsearchlib.com:39356/a,5
Greynoise Log4j Callback Servers,ldap://8b5e31cb04bf.bingsearchlib.com:39356/a,5
Greynoise Log4j Callback Servers,ldap://f4cf2a9b7dba.bingsearchlib.com:39356/a,5
